title,author,avg_rating,rating_count,num_pages,genres,pub_year,url
The Catcher in the Rye,J.D. Salinger,3.8,3757567,277.0,"Classics, Fiction, Young Adult",1951.0,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
One Hundred Years of Solitude,Gabriel García Márquez,4.12,1053596,417.0,"Fiction, Magical Realism, Fantasy",1967.0,https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude
1984,George Orwell,4.2,5120386,298.0,"Classics, Fiction, Science Fiction",1949.0,https://www.goodreads.com/book/show/40961427-1984
A Thousand Splendid Suns,Khaled Hosseini,4.45,1655406,372.0,"Fiction, Historical Fiction, Book Club",2007.0,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns
Little Women,Louisa May Alcott,4.16,2362357,449.0,"Classics, Fiction, Historical Fiction",1868.0,https://www.goodreads.com/book/show/1934.Little_Women
The Outsiders,S.E. Hinton,4.14,1504700,208.0,"Classics, Young Adult, Fiction",1967.0,https://www.goodreads.com/book/show/231804.The_Outsiders
The Princess Bride,William Goldman,4.27,928945,429.0,"Fantasy, Fiction, Romance",1973.0,https://www.goodreads.com/book/show/21787.The_Princess_Bride
The Secret Garden,Frances Hodgson Burnett,4.16,1246906,331.0,"Fiction, Classics, Childrens",1911.0,https://www.goodreads.com/book/show/2998.The_Secret_Garden
A Game of Thrones,George R.R. Martin,4.45,2645662,835.0,"Fantasy, Fiction, Epic Fantasy",1996.0,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
The Time Traveler's Wife,Audrey Niffenegger,4.0,1835541,537.0,"Fiction, Romance, Fantasy",2003.0,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife
Harry Potter and the Sorcerer’s Stone,J.K. Rowling,4.47,10913786,333.0,"Fantasy, Fiction, Young Adult",1997.0,https://www.goodreads.com/book/show/42844155-harry-potter-and-the-sorcerer-s-stone
Harry Potter and the Deathly Hallows,J.K. Rowling,4.62,3965280,759.0,"Young Adult, Fiction, Magic",2007.0,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
The Odyssey,Homer,3.82,1143253,541.0,"Fiction, Poetry, Mythology",,https://www.goodreads.com/book/show/1381.The_Odyssey
A Wrinkle in Time,Madeleine L'Engle,3.98,1251954,218.0,"Fantasy, Fiction, Classics",1962.0,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.89,1742811,260.0,"Horror, Fiction, Science Fiction",1818.0,https://www.goodreads.com/book/show/35031085-frankenstein
The Kite Runner,Khaled Hosseini,4.35,3358054,371.0,"Fiction, Historical Fiction, Classics",2003.0,https://www.goodreads.com/book/show/77203.The_Kite_Runner
The Giver,Lois Lowry,4.12,2696105,208.0,"Young Adult, Fiction, Classics",1993.0,https://www.goodreads.com/book/show/3636.The_Giver
The Handmaid’s Tale,Margaret Atwood,4.15,2265197,311.0,"Fiction, Classics, Dystopia",1985.0,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.58,4604576,435.0,"Fantasy, Fiction, Young Adult",1999.0,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
Where the Wild Things Are,Maurice Sendak,4.25,1037489,38.0,"Picture Books, Childrens, Fiction",1963.0,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are
Green Eggs and Ham,Dr. Seuss,4.31,821712,64.0,"Childrens, Picture Books, Classics",1960.0,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham
The Lovely Bones,Alice Sebold,3.86,2428056,372.0,"Fiction, Mystery, Young Adult",2002.0,https://www.goodreads.com/book/show/12232938-the-lovely-bones
The Adventures of Huckleberry Finn,Mark Twain,3.83,1309198,327.0,"Fiction, Classics, Historical Fiction",1884.0,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn
Dune,Frank Herbert,4.28,1542580,658.0,"Science Fiction, Fiction, Fantasy",1965.0,https://www.goodreads.com/book/show/44767458-dune
Life of Pi,Yann Martel,3.94,1708929,460.0,"Fiction, Fantasy, Classics",2001.0,https://www.goodreads.com/book/show/4214.Life_of_Pi
A Tale of Two Cities,Charles Dickens,3.87,989659,489.0,"Fiction, Historical Fiction, Literature",1859.0,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities
